date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:12	6724/6724	---M--	200	added ('OK')	application/font-woff	etag:%221a44-6844c775-798f35362099b61c;;;%22	https://savagetale.xyz/wp-content/fonts/dancing-script/If2cXTr6YS-zF4S-kcSWSVi_sxjsohD9F50Ruu7BMSo3Rep6hNX6pmRMjLo.woff	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/fonts/dancing-script/If2cXTr6YS-zF4S-kcSWSVi_sxjsohD9F50Ruu7BMSo3Rep6hNX6pmRMjLo.woff	(from https://savagetale.xyz/)
20:20:13	18188/18188	---M--	200	added ('OK')	application/font-woff	etag:%22470c-6844c775-2fc4c9aa9daa7088;;;%22	https://savagetale.xyz/wp-content/fonts/dancing-script/If2cXTr6YS-zF4S-kcSWSVi_sxjsohD9F50Ruu7BMSo3ROp6hNX6pmRMjLo.woff	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/fonts/dancing-script/If2cXTr6YS-zF4S-kcSWSVi_sxjsohD9F50Ruu7BMSo3ROp6hNX6pmRMjLo.woff	(from https://savagetale.xyz/)
20:20:13	29180/29180	---M--	200	added ('OK')	application/font-woff	etag:%2271fc-6844c775-fb78627cfec630eb;;;%22	https://savagetale.xyz/wp-content/fonts/dancing-script/If2cXTr6YS-zF4S-kcSWSVi_sxjsohD9F50Ruu7BMSo3Sup6hNX6pmRM.woff	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/fonts/dancing-script/If2cXTr6YS-zF4S-kcSWSVi_sxjsohD9F50Ruu7BMSo3Sup6hNX6pmRM.woff	(from https://savagetale.xyz/)
20:20:15	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/SavageSale/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://savagetale.xyz/)
20:20:16	33318/33318	---M--	200	added ('OK')	image/webp	etag:%228226-641ad02c-5830b4d1effd8fe2;;;%22	https://savagetale.xyz/wp-content/uploads/2023/03/savage-logo-s.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/savage-logo-s.webp	(from https://savagetale.xyz/)
20:20:17	277816/277816	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243d38-641badcc-8bd8789f015afd00;gz%22	https://savagetale.xyz/wp-content/uploads/2023/03/loading-scr-bg-bear.svg	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/loading-scr-bg-bear.svg	(from https://savagetale.xyz/)
20:20:17	48580/48580	---M--	200	added ('OK')	image/webp	etag:%22bdc4-65a208ac-a6d083276c288cff;;;%22	https://savagetale.xyz/wp-content/uploads/2024/01/loadin-logo.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2024/01/loadin-logo.webp	(from https://savagetale.xyz/)
20:20:18	80898/80898	---M--	200	added ('OK')	image/webp	etag:%2213c02-6476d97b-c63f7b8d9bb7b9e0;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/TowerSeparateFNL-s-1.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/TowerSeparateFNL-s-1.webp	(from https://savagetale.xyz/)
20:20:18	8288/8288	---M--	200	added ('OK')	image/webp	etag:%222060-6476da7e-6c3b2134e4f190be;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/midgrd-aminals-left-s.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/midgrd-aminals-left-s.webp	(from https://savagetale.xyz/)
20:20:19	8180/8180	---M--	200	added ('OK')	image/webp	etag:%221ff4-6476dad8-93d01efe2873e21d;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/midgrd-aminals-right-1.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/midgrd-aminals-right-1.webp	(from https://savagetale.xyz/)
20:20:19	15320/15320	---M--	200	added ('OK')	image/webp	etag:%223bd8-6476fb59-f5bc3eb5d7b30cf8;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/fog-1024x110.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/fog-1024x110.webp	(from https://savagetale.xyz/)
20:20:19	62324/62324	---M--	200	added ('OK')	image/webp	etag:%22f374-6476c8b2-f44158cb83e55acb;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/LogoBackground-s.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/LogoBackground-s.webp	(from https://savagetale.xyz/)
20:20:25	14576/14576	---M--	200	added ('OK')	image/webp	etag:%2238f0-6476cc5a-a84dac2872e30a3b;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/LogoBackground-mobile-s.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/LogoBackground-mobile-s.webp	(from https://savagetale.xyz/)
20:20:29	19002/19002	---M--	200	added ('OK')	image/webp	etag:%224a3a-641ac79e-827020b81faa25aa;;;%22	https://savagetale.xyz/wp-content/uploads/2023/03/flags-right-1.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/flags-right-1.webp	(from https://savagetale.xyz/)
